UBR Number,UBR Year,Species Name,Number of birds,Details,Date first seen,Location,UBR Status,First NZ record?,Reference,
2021/018,2021,Snares crested penguin,1,Live,19/02/2021,"Canterbury, Hundalees, Claverley Beach",Not accepted,No,Miskelly et al. 2023,
2021/017A,2021,Erect-crested penguin,1,Died,22/02/2021,"Banks Peninsula, Akaroa, Goughs Bay",Accepted,No,Miskelly et al. 2023,
2021/017,2021,Erect-crested penguin,1,Live,20/02/2021,"Banks Peninsula, Akaroa, Goughs Bay",Accepted,No,Miskelly et al. 2023,
2021/016,2021,Juan Fernandez petrel,1,Live,24/01/2021,"Chatham Islands, Rangatira Island, summit",Accepted,No,Miskelly et al. 2023,
2021/015,2021,Frigatebird sp.,1,Live,28/01/2021,"Bay of Plenty, Bowentown, Waihi Beach",Accepted,No,Miskelly et al. 2023,
2021/014,2021,Nankeen kestrel,1,Live,2/05/2008,"South Taranaki, Otakeho",Accepted,No,Miskelly et al. 2023,
2021/013A,2021,Black falcon,1,Live,28/02/2021,"Wellington, Khandallah, Lucknow Terrace",Suspense,No,Miskelly et al. 2023,
2021/013,2021,Black falcon,1,Live,13/02/2021,"Wellington, Manchester Terrace",Suspense,No,Miskelly et al. 2023,
2021/012,2021,Whiskered tern,1,Live,21/01/2021,"Te Anau, Upukerora River",Accepted,No,Miskelly et al. 2023,
2021/011,2021,Sooty tern,1,Live,3/02/2021,"Chatham Islands, Rangatira Island, West Landing",Accepted,No,Miskelly et al. 2023,
2021/010,2021,Little whimbrel,1,Live,4/02/2021,"Southland, Riverton Estuary",Accepted,No,Miskelly et al. 2023,
2021/009,2021,Oriental cuckoo,1,Live,13/01/2021,"Wellington, Mt Cook, Prince of Wales Park",Not accepted,No,Miskelly et al. 2023,
2021/008,2021,Sanderling,1,Live,10/01/2021,"Northland, Mangawhai Heads, Lincoln St Reserve",Accepted,No,Miskelly et al. 2023,
2021/007,2021,Bulwer's petrel,1,Live,7/01/2021,"Stewart Island, Port Adventure, south of Weka Reef",Not accepted,No,Miskelly et al. 2023,
2021/006,2021,Sanderling,1,Live,22/12/2020,"Southland, head of Awarua Bay",Accepted,No,Miskelly et al. 2023,
2021/005,2021,Common greenshank,1,Live,3/05/2020,Riverton,Accepted,No,Miskelly et al. 2023,
2021/004,2021,Chestnut-breasted shelduck,2,Live,30/10/2020,"Invercargill, Tip Lagoon",Accepted,No,Miskelly et al. 2023,
2021/003,2021,Terek sandpiper,1,Live,22/12/2020,"Southland, head of Awarua Bay",Accepted,No,Miskelly et al. 2023,
2021/002,2021,Wandering tattler,1,Live,17/03/1990,"Cape Reinga, Spirits Bay, Panache Island",Accepted,No,Miskelly et al. 2023,
2021/001,2021,Chatham Island mollymawk,1,Live,9/01/2021,Halfway between Stewart Island and Bluff,Not accepted,No,Miskelly et al. 2023,
2020/116,2020,Common tern,1,Live,20/01/2011,Waikanae River mouth,Accepted,No,Miskelly et al. 2021,
2020/115,2020,Common tern,1,Live,Dec-29,Waikanae River Mouth,Accepted,No,Miskelly et al. 2021,
2020/114,2020,White-winged black tern,1,Live,Dec-29,Manawatu River Mouth,Accepted,No,Miskelly et al. 2021,
2020/113,2020,Common tern,1,Live,Dec-29,Manawatu River Mouth,Accepted,No,Miskelly et al. 2021,
2020/112,2020,Gull-billed tern,5,Live,29/12/2011,Manawatu River mouth,Accepted,No,Miskelly et al. 2021,
2020/111,2020,Common tern,1,Live,Dec-20,Manawatu Estuary,Accepted,No,Miskelly et al. 2021,
2020/110,2020,Fairy tern,1,Live,Dec-20,Manawatu Estuary,Accepted,No,Miskelly et al. 2021,
2020/109,2020,Chestnut-breasted shelduck,2,Live,Jan-08,Miranda,Accepted,No,Miskelly et al. 2021,
2020/108,2020,Northern shoveler,1,Live,Jun-20,"Canterbury, Pegasus Wetland",Accepted,No,Miskelly et al. 2021,
2020/107,2020,Common greenshank,1,Live,Nov-29,"Lake Ellesmere, Kaitorete Spit, Birdlings Flat, B Sector",Accepted,No,Miskelly et al. 2021,
2020/106,2020,Chestnut-breasted shelduck,2,Live,Dec-05,"Stewart Island, Oban, Ringaringa Golf Course",Accepted,No,Miskelly et al. 2021,
2020/105,2020,Wandering tattler,1,Live,Oct-13,"Chatham Islands, Cape Pattisson",Accepted,No,Miskelly et al. 2021,
2020/104,2020,Whimbrel,1,Live,Oct-24,"Chatham Island, Te Whanga, Hikurangi Channel",Accepted,No,Miskelly et al. 2021,
2020/103,2020,Common greenshank,1,Live,Oct-30,"Chatham Island, Okawa Point",Accepted,No,Miskelly et al. 2021,
2020/102,2020,Little tern,1,Live,Nov-03,"Chatham Islands, Pitt Island, Motutapu Point",Accepted,No,Miskelly et al. 2021,
2020/101,2020,Sooty tern,1,Died,Nov-26,"Waiheke Island, Onetangi Beach",Accepted,No,Miskelly et al. 2021,
2020/100,2020,Sanderling,1,Live,Oct-11,Ashley River Estuary,Accepted,No,Miskelly et al. 2021,
2020/099,2020,Common tern,1,Live,Jun-06,"Kaipara Harbour, Big Sand Island, North End",Accepted,No,Miskelly et al. 2021,
2020/098,2020,Sooty tern,1,Live,Nov-13,"Far North, Karikari Peninsula, Rangiputa, entry neck of Rangaunu Harbour",Accepted,No,Miskelly et al. 2021,
2020/097,2020,Cape Barren goose,1,Live,Nov-05,"New Plymouth, Te Rewa Rewa bridge",Accepted,No,Miskelly et al. 2021,
2020/096,2020,Barbary dove,3,Live,Sep-18,"Canterbury, Bottle Lake Forest",Accepted,No,Miskelly et al. 2021,
2020/095,2020,Stewart Island shag,1,Live,Oct-29,"Canterbury, Banks Peninsula, eastern head of Damon’s Bay",Accepted,No,Miskelly et al. 2021,
2020/094,2020,Tree martin,1,Live,Oct-25,"Canterbury, Wainono Lake Road, approximately 50 metres beyond the car park from the main road",Accepted,No,Miskelly et al. 2021,
2020/093,2020,New Zealand dabchick,1,Live,Oct-11,"St Annes Lagoon, near Cheviot",Accepted,No,Miskelly et al. 2021,
2020/092,2020,Fernbird,2,Live,Sep-28,"Canterbury, Lake Wainono at end of Wainono Lake Road",Accepted,No,Miskelly et al. 2021,
2020/091,2020,Australasian little grebe,1,Live,Sep-29,"Canterbury, Lake Benmore, Haldon Boat Harbour",Accepted,No,Miskelly et al. 2021,
2020/090,2020,Cape Barren goose,1,Live,Oct-24,"Upper Hutt, 50 metres from west side of lower lake of two reservoir lakes at Te Marua",Accepted,No,Miskelly et al. 2021,
2020/089,2020,Fork-tailed swift,1,Live,Oct-20,"Marlborough Sounds, Tory Channel, Arapawa Island, Deep Bay",Accepted,No,Miskelly et al. 2021,
2020/088,2020,Great-winged petrel,2,Live,Jun-29,off Otago Peninsula,Not accepted,No,Miskelly et al. 2021,
2020/087,2020,Greater sand plover,1,Live,Sep-19,Ashley Estuary,Accepted,No,Miskelly et al. 2021,
2020/086,2020,Laughing gull,1,Live,Oct-18,Cape Kidnappers,Accepted,No,Miskelly et al. 2021,
2020/085,2020,Glossy ibis,1,Live,Apr-20,between Manapouri and Te Anau,Accepted,No,Miskelly et al. 2021,
2020/084,2020,Northern shoveler,1,Live,Aug-28,"Canterbury, Pegasus Wetland",Accepted,No,Miskelly et al. 2021,
2020/083,2020,Little egret,1,Live,Feb-08,"Tasman, Rough Island, Hunter Brown Reserve",Accepted,No,Miskelly et al. 2021,
2020/082,2020,Little egret,1,Live,Jan-15,"Tasman, Rough Island, off Tic Toc Road East",Accepted,No,Miskelly et al. 2021,
2020/081,2020,Little egret,1,Live,Oct-06,"Westport, Okari Estuary",Accepted,No,Miskelly et al. 2021,
2020/080,2020,Little egret,1,Live,Jul-17,"Westport, Okari Estuary",Accepted,No,Miskelly et al. 2021,
2020/079,2020,Little stint,1,Live,Oct-14,"Lake Ellesmere, Embankment Road",Accepted,No,Miskelly et al. 2021,
2020/078,2020,Kakariki,4,Live,Aug-06,"Far North, Kerikeri, Puketi Forest campground",Not accepted,No,Miskelly et al. 2021,
2020/077,2020,Gull-billed tern,1,Live,Jun-06,Motueka Sandspit,Accepted,No,Miskelly et al. 2021,
2020/076,2020,Barn owl,1,Live,Aug-05,"Lyttelton, Charteris Bay, Bayview Road",Not accepted,No,Miskelly et al. 2021,
2020/075,2020,Stewart Island shag,3,Live,Aug-08,"South Canterbury, Timaru Harbour",Accepted,No,Miskelly et al. 2021,
2020/074,2020,Yellow-billed spoonbill,1,Live,Aug-03,"Canterbury, Fairlie, Ashwick Flat, near Lake Opuha",Not accepted,No,Miskelly et al. 2021,
2020/073,2020,Stewart Island shag,1,Live,Jun-17,"Canterbury, Ashburton Rivermouth",Accepted,No,Miskelly et al. 2021,
2020/072,2020,Stewart Island shag,1,Live,Mar-25,"Canterbury, Ashburton Rivermouth",Accepted,No,Miskelly et al. 2021,
2020/071,2020,Stewart Island shag,4,Live,Jul-21,"Canterbury, Ashburton Rivermouth",Accepted,No,Miskelly et al. 2021,
2020/070,2020,Stewart Island shag,1,Live,Apr-21,"South Canterbury, Timaru Harbour",Accepted,No,Miskelly et al. 2021,
2020/069,2020,Northern shoveler,1,Live,May-27,"Canterbury, Pegasus Wetland",Accepted,No,Miskelly et al. 2021,
2020/068,2020,Northern shoveler,1,Live,Jul-19,"Rotorua, Waimangu Valley, Lake Rotomahana inlet",Accepted,No,Miskelly et al. 2021,
2020/067,2020,Laughing gull,1,Live,Jan-26,"Wairoa, Wairoa River",Accepted,No,Miskelly et al. 2021,
2020/066,2020,Black noddy,1,Live,Jun-12,"at sea, between Cavalli Islands and Mahinapua",Accepted,No,Miskelly et al. 2021,
2020/065,2020,New Zealand dabchick,1,Live,Jun-12,"Tasman, Ridgeview Road, Appleby Hills dam",Accepted,No,Miskelly et al. 2021,
2020/064,2020,Little egret,1,Live,Jun-21,"Tasman, Rough Island, off Tic Toc Road",Accepted,No,Miskelly et al. 2021,
2020/063,2020,Subantarctic skua,1,Live,Jun-12,Foxton Beach,Accepted,No,Miskelly et al. 2021,
2020/062,2020,Frigatebird sp.,1,Live,Aug-09,"Masterton, Macara Street",Accepted,No,Miskelly et al. 2021,
2020/061,2020,Little egret,1,Live,Nov-17,"Waikuku, Ashley River",Accepted,No,Miskelly et al. 2021,
2020/060 (reassessment),2020,Barn owl,1,Live,Oct-19,Pokeno,Not accepted,No,Miskelly et al. 2021,
2020/060,2020,Barn owl,1,Live,Oct-19,Pokeno,Not accepted,No,Miskelly et al. 2021,
2020/059,2020,Little egret,1,Live,Jun-07,Manawatu River Mouth,Accepted,No,Miskelly et al. 2021,
2020/058,2020,White tern,1,Dead,May-21,"Kaimai Range, Mangamuka Hut Track",Accepted,No,Miskelly et al. 2021,
2020/057,2020,Long-tailed skua,1,Live,Dec-12,"Chatham Islands, south of Pyramid Rock, at sea",Accepted,No,Miskelly et al. 2021,
2020/056,2020,Red-crowned parakeet,1,Live,May-26,"Waiatarua, Forest Hill Road",Accepted,No,Miskelly et al. 2021,
2020/055,2020,Gull-billed tern,1,Live,Jun-02,Manawatu Estuary,Accepted,No,Miskelly et al. 2021,
2020/054,2020,New Zealand dabchick,2,Live,May-30,"Nelson, Boulder Bank Drive, Wakapuaka oxidation pond wetlands",Accepted,No,Miskelly et al. 2021,
2020/053,2020,Great shearwater,1,Live,Apr-20,east of Poor Knights,Accepted,No,Miskelly et al. 2021,
2020/052,2020,Little egret,2,Live,May-21,"Auckland, Wattle Downs, Manukau Harbour, Pahurehure Inlet",Accepted,No,Miskelly et al. 2021,
2020/051,2020,New Zealand dabchick,1,Live,May-06,"Canterbury, Waimakariri District, north of Tiritiri Moana Drive, Pegasus Wetlands",Accepted,No,Miskelly et al. 2021,
2020/050,2020,Fork-tailed swift,1,Live,Mar-21,"Te Atatu, Orangihina Park",Accepted,No,Miskelly et al. 2021,
2020/049,2020,White-throated needletail,80,Live,Feb-13,"Upper Moutere, Husthouse Street",Accepted,No,Miskelly et al. 2021,
2020/048,2020,Gull-billed tern,1,Live,Apr-08,Motueka Sandspit,Accepted,No,Miskelly et al. 2021,
2020/047,2020,Pacific heron,6,Live,Oct-06,Takaka River Estuary,Not accepted,No,Miskelly et al. 2021,
2020/046,2020,Barn owl,1,Live,Apr-29,"Auckland, New Lynn, Astley Avenue",Not accepted,No,Miskelly et al. 2021,
2020/045,2020,Erect-crested penguin,1,Live,Feb-19,Timaru,Accepted,No,Miskelly et al. 2021,
2020/044,2020,White-bellied sea eagle,1,Live,Nov-05,Miranda,Not accepted,No,Miskelly et al. 2021,
2020/043,2020,Barn owl,1,Live,Apr-21,"Lyttelton, Cressy Terrace",Not accepted,No,Miskelly et al. 2021,
2020/042,2020,Yellow-billed spoonbill,2,Live,Apr-22,"Westport, Lost Lagoon Walkway",Not accepted,No,Miskelly et al. 2021,
2020/041,2020,Barn owl,1,Live,Apr-08,"Palmerston North, Milson, Fairs Road",Accepted,No,Miskelly et al. 2021,
2020/040,2020,Fork-tailed swift,3,Live,Dec-25,"Stewart Island, Lee Bay",Accepted,No,Miskelly et al. 2021,
2020/039,2020,Common tern,1,Live,Mar-07,Ashley River Estuary,Not accepted,No,Miskelly et al. 2021,
2020/038,2020,Broad-billed sandpiper,1,Live,Nov-20,Miranda,Accepted,No,Miskelly et al. 2021,
2020/037,2020,Yellow-eyed penguin,1,Live,Nov-05,Kaikoura Peninsula,Accepted,No,Miskelly et al. 2021,
2020/036,2020,Australian white-faced storm petrel,1,Live,Apr-02,off Kawhia,Accepted,No,Miskelly et al. 2021,
2020/035,2020,Chestnut-breasted shelduck,1,Live,Jan-18,"Miranda Shorebird Centre, 'The Stilt Ponds'",Accepted,No,Miskelly et al. 2021,
2020/034,2020,Red-necked phalarope,1,Live,May-16,Nelson water treatment plant,Accepted,No,Miskelly et al. 2021,
2020/033,2020,Royal penguin,1,Live,Feb-14,"Chatham Island, Te Whanga, Hikurangi (lagoon opening)",Accepted,No,Miskelly et al. 2021,
2020/032,2020,Australian king parrot,1,Live,Sep-06,"Auckland, Cornwall Park, Michael Horton Drive",Accepted,No,Miskelly et al. 2021,
2020/031,2020,Common tern,1,Live,Mar-22,Manawatu Estuary,Accepted,No,Miskelly et al. 2021,
2020/030 reassessment,2020,Tasmanian mollymawk,1,Live,Mar-11,"at sea, 20 km west of Codfish Island, north of Solander Trough",Suspense,No,Miskelly et al. 2021,
2020/030,2020,Tasmanian mollymawk,1,Live,Mar-11,"west of Codfish Island, north of Solander Trough",Suspense,No,Miskelly et al. 2021,
2020/029,2020,Arctic tern,2,Live,Oct-25,Bounty Islands,Accepted,No,Miskelly et al. 2021,
2020/028,2020,Royal penguin,1,Live,Mar-06,Whenua Hou (Codfish Island),Accepted,No,Miskelly et al. 2021,
2020/027,2020,Black kite,1,Live,Feb-12,"Waikato, Hauraki Plains, junction of Top Road and SH27",Accepted,No,Miskelly et al. 2021,
2020/026,2020,Buff-breasted sandpiper,1,Live,Dec-22,"Canterbury, Kaitorete Spit",Accepted,No,Miskelly et al. 2021,
2020/025,2020,Common tern,1,Live,Feb-11,"Canterbury, Ashley River Mouth",Accepted,No,Miskelly et al. 2021,
2020/024,2020,Yellow-eyed penguin,1,Live,Feb-19,Kaikoura Peninusla,Accepted,No,Miskelly et al. 2021,
2020/023,2020,Tree martin,1,Live,Feb-17,"Canterbury, Lake Ellesmere, Wolfes Road",Accepted,No,Miskelly et al. 2021,
2020/022,2020,Reef heron,1,Live,Feb-16,"Chatham Islands, Southeast Island, Thinornis Bay",Suspense,No,Miskelly et al. 2021,
2020/021,2020,Yellowhead,1,Live,Feb-09,"Wanaka, Diamond Lakes, Rocky Mountain",Not accepted,No,Miskelly et al. 2021,
2020/020,2020,Plumed whistling duck,1,Live,Feb-11,"Taradale, Anderson Park",Accepted,No,Miskelly et al. 2021,
2020/019,2020,Common greenshank,1,Live,Dec-30,"Canterbury, Lake Ellesmere, Yarrs Bay",Not accepted,No,Miskelly et al. 2021,
2020/018,2020,South Island saddleback,1,Live,Jan-18,"Greymouth, Point Elizabeth Walkway",Not accepted,No,Miskelly et al. 2021,
2020/017,2020,Whiskered tern,1,Live,Jan-31,"South Otago, Balclutha Airfield",Accepted,No,Miskelly et al. 2021,
2020/016,2020,Lesser sand plover,1,Live,Jan-16,"Miranda, Godwit and Stilt Hides",Accepted,No,Miskelly et al. 2021,
2020/015,2020,Great knot,1,Live,Jan-23,"Manukau Harbour, Kidd's Shellbank",Accepted,No,Miskelly et al. 2021,
2020/014,2020,Common sandpiper,1,Live,Dec-24,Waipu wildlife refuge,Accepted,No,Miskelly et al. 2021,
2020/013,2020,Fiordland crested penguin,1,Live,Jan-10,Gore Bay,Accepted,No,Miskelly et al. 2021,
2020/012,2020,Black noddy,1,Live,Jan-06,"Auckland, Milford, Milford Beach",Accepted,No,Miskelly et al. 2021,
2020/011,2020,Atlantic yellow-nosed mollymawk,1,Live,Nov-15,The Snares,Accepted,No,Miskelly et al. 2021,
2020/010,2020,Canada goose,1,Live,Jan-14,The Snares,Accepted,No,Miskelly et al. 2021,
2020/009,2020,Sanderling,1,Live,Dec-29,"Southland, head of Awarua Bay",Accepted,No,Miskelly et al. 2021,
2020/008,2020,Common tern,1,Live,Jan-03,Manawatu River Mouth,Accepted,No,Miskelly et al. 2021,
2020/007,2020,Black kite,1,Live,Dec-22,"Kaikoura, Postmans Road",Not accepted,No,Miskelly et al. 2021,
2020/006,2020,Red-footed booby,1,Dead,May-15,"Hauraki Gulf, Pakatoa Island",Accepted,No,Miskelly et al. 2021,
2020/005,2020,White ibis,1,Live,Dec-07,Lake Elterwater,Not accepted,No,Miskelly et al. 2021,
2020/004,2020,Tree martin,1,Live,14/12/2019,Accepted,No,Miskelly et al. 2021,,
2020/003,2020,White-throated needletail,1,Live,Dec-14,Farewell Spit,Accepted,No,Miskelly et al. 2021,
2020/002,2020,Pallid cuckoo,1,Live,Dec-11,"Golden Bay, corner of Pah Rd and Collingwood-Bainham Main Rd",Accepted,No,Miskelly et al. 2021,
2020/001,2020,Greater sand plover,1,Live,Oct-14,Ashley Estuary,Accepted,No,Miskelly et al. 2021,
2019/095,2019,Rose-crowned fruit-dove,1,Died,Aug-23,"at sea, 75 km south-west of Hawera, South Taranaki Bight",Accepted,Yes,Miskelly 2020b,
2019/094,2019,Gull-billed tern,2,Breeding,21/12/2019,Accepted,Yes,Jacques et al. 2023,,
2019/093,2019,Fork-tailed swift,1,Live,Dec-05,"Stewart Island, Halfmoon Bay, Sarah Cove",Accepted,No,Miskelly et al. 2021,
2019/092,2019,White-throated needletail,1,Live,Dec-05,"Poor Knights Islands, Tawhiti Rahi, Rock Lily Inlet",Accepted,No,Miskelly et al. 2021,
2019/091,2019,Northern shoveler,1,Live,Nov-16,"Southland, Waituna Lagoon",Accepted,No,Miskelly et al. 2021,
2019/090,2019,Buff-breasted sandpiper,1,Live,Nov-19,"Canterbury, Waikuku, Ashley Estuary",Accepted,No,Miskelly et al. 2021,
2019/089,2019,Yellow-billed spoonbill,8,Live,Nov-20,"Taranaki, Opunake",Not accepted,No,Miskelly et al. 2021,
2019/088,2019,Fan-tailed cuckoo,1,Live,Nov-20,"Paraparaumu, Nikau Valley, Angus Way",Not accepted,No,Miskelly et al. 2021,
2019/087,2019,Masked woodswallow,1,Live,Nov-11,"Waihi, Waitawheta, Dickey Flat Road",Accepted,No,Miskelly et al. 2021,
2019/086,2019,Black-faced cuckoo-shrike,1,Live,Jul-08,"Waikato, Wairamarama, Nolan Road",Accepted,No,Miskelly et al. 2021,
2019/085,2019,Australian king parrot,1,Live,Oct-25,"Auckland, One Tree Hill, One Tree Hill Domain, Olive Grove",Accepted,No,Miskelly et al. 2021,
2019/084,2019,Crested tern,1,Live,Oct-22,Whanganui River estuary,Accepted,No,Miskelly et al. 2021,
2019/083,2019,Fairy prion,600,Live,Jul-12,Kaikoura,Submitted,No,,
2019/083,2019,Grey plover,1,Live,Oct-22,Whanganui River estuary,Accepted,No,Miskelly et al. 2021,
2019/082,2019,Fairy prion,1500,Live,Sep-26,Kaikoura,Submitted,No,,
2019/082,2019,Gull-billed tern,1,Live,Oct-19,"Nelson, Bells Island, Shellbank",Accepted,No,Miskelly et al. 2021,
2019/081,2019,Subantarctic skua,1,Live,Sep-26,Kaikoura,Submitted,No,,
2019/081,2019,Subantarctic skua,1,Live,Sep-26,Kaikoura,Not accepted,No,Miskelly et al. 2021,
2019/080,2019,Black-fronted dotterel,1,Live,Oct-14,"Stewart Island, southern end of Horseshoe Beach",Accepted,No,Miskelly et al. 2021,
2019/079,2019,Gull-billed tern,1,Live,Oct-02,"Kaikoura, Harmers Beach",Not accepted,No,Miskelly et al. 2021,
2019/078,2019,South Island kokako,1,Live,Oct-13,"Tasman, Abel Tasman National Park, Harwoods Hole",Not accepted,No,Miskelly et al. 2021,
2019/077,2019,Northern shoveler,1,Live,Sep-29,"Marlborough, Lake Elterwater",Accepted,No,Miskelly et al. 2021,
2019/076,2019,South Island kokako,1,Live,Jun-23,"Picton, Waikawa Road",Not accepted,No,Miskelly et al. 2021,
2019/075,2019,South Island kokako,1,Live,Feb-25,"Nelson, Cable Bay",Not accepted,No,Miskelly et al. 2021,
2019/074,2019,South Island kokako,1,Live,Oct-15,"Nelson, Cable Bay",Not accepted,No,Miskelly et al. 2021,
2019/073,2019,Marsh crake,1,Live,Sep-22,"Chatham Island, Te Whanga, north of Waikato Stream",Accepted,No,Miskelly et al. 2021,
2019/072,2019,White tern,2,Dead,Jun-11,"Otaki coast, between Waikawa Stream and Waitohu Stream",Accepted,No,Miskelly et al. 2021,
2019/071,2019,Northern shoveler,1,Live,Sep-16,Otaki Sewage Ponds,Accepted,No,Miskelly et al. 2021,
2019/070,2019,Little stint,1,Live,Sep-15,"Auckland, Manukau Harbour, Karaka Shell Banks",Accepted,No,Miskelly et al. 2021,
2019/069,2019,Northern shoveler,1,Live,Aug-19,"Waikato, Te Aroha, Howarth Memorial Wetlands",Accepted,No,Miskelly et al. 2021,
2019/068,2019,Black heron,1,Live,Aug-31,"Waimauku, State Highway 16",Not accepted,No,Miskelly et al. 2021,
2019/067,2019,Fiji petrel,1,Live,Mar-17,"North of the Three Kings Islands, at sea",Not accepted,No,Miskelly et al. 2021,
2019/066,2019,Collared petrel,1,Live,Mar-17,"North of the Three Kings Islands, at sea",Accepted,No,Miskelly et al. 2021,
2019/065,2019,Collared petrel,1,Live,Mar-17,"North of the Three Kings Islands, at sea",Accepted,No,Miskelly et al. 2021,
2019/064,2019,New Zealand dabchick,1,Live,Jun-07,"Nelson, Wakapuaka, Nelson Wastewater treatment plant",Accepted,No,Miskelly et al. 2021,
2019/063,2019,New Zealand dabchick,1,Live,Jul-13,"Marlborough, Lake Elterwater",Accepted,No,Miskelly et al. 2021,
2019/062,2019,Hoary-headed grebe,5,Live,Jul-13,"Marlborough, Lake Elterwater",Accepted,No,Miskelly et al. 2021,
2019/061,2019,Masked woodswallow,1,Live,Jul-08,"Waikato, Wairamarama, Nolan Road",Not accepted,No,Miskelly et al. 2021,
2019/060,2019,White-winged triller,1,Live,Mar-15,"Fiordland, Secretary Island, Lake Secretary",Withdrawn,No,Miskelly et al. 2021,
2019/059,2019,Brown booby,1,Live,Aug-03,"West Auckland, Muriwai gannet colony",Accepted,No,Miskelly et al. 2021,
2019/058,2019,Northern shoveler,1,Live,Oct-21,"Southland, Invercargill, Tip Lagoon",Accepted,No,Miskelly et al. 2021,
2019/057,2019,Chestnut-breasted shelduck,1,Live,Oct-08,"Southland, Invercargill, Tip Lagoon",Accepted,No,Miskelly et al. 2021,
2019/056,2019,Chestnut teal,1,Live,Oct-19,"Southland, Invercargill, Tip Lagoon",Accepted,No,Miskelly et al. 2021,
2019/055,2019,Little egret,1,Live,Jun-22,"Greymouth, Cobden",Accepted,No,Miskelly et al. 2021,
2019/054,2019,Grey phalarope,1,Live,Jul-17,"Kaikoura, at sea",Accepted,No,Miskelly et al. 2021,
2019/053,2019,Great knot,1,Live,Jul-06,Farewell Spit,Accepted,No,Miskelly et al. 2021,
2019/052,2019,South Polar skua,1,Died,Mar-28,"Auckland Island, Laurie Harbour",Accepted,Yes,Miskelly 2020a,
2019/051,2019,Australasian little grebe,1,Live,Jul-01,"Auckland, Millwater, Millwater Parkway",Accepted,No,Miskelly et al. 2021,
2019/050,2019,Saddleback,1,Live,Jun-30,"Christchurch, Travis Wetland",Not accepted,No,Miskelly et al. 2021,
2019/049,2019,Northern shoveler,1,Live,Jun-16,"Lake Ellesmere, Kaitorete Spit",Accepted,No,Miskelly et al. 2021,
2019/048,2019,Pink-footed shearwater,1,Live,Dec-06,"At sea, south of Kaikoura Peninsula",Accepted,No,Miskelly et al. 2021,
2019/047,2019,Nankeen kestrel,1,Live,Jan-25,"Auckland, near Hibiscus Coast Highway, western end of Whangaparaoa Road",Not accepted,No,Miskelly et al. 2021,
2019/046,2019,Sanderling,1,Live,Nov-17,"Southland, head of Awarua Bay",Accepted,No,Miskelly et al. 2021,
2019/045,2019,Nankeen kestrel,1,Live,May-24,"Northland, Peria, Shepherd Road",Accepted,No,Miskelly et al. 2021,
2019/044,2019,Bobwhite quail,2,Live,May-14,"Kaikoura, Maui St",Accepted,No,Miskelly et al. 2021,
2019/043,2019,Nankeen kestrel,2,Live,Feb-02,"Antipodes Island, Stella Bay",Accepted,No,Miskelly et al. 2021,
2019/042,2019,Wandering tattler,2,Live,Aug-29,"Chatham Island, Waitangi West",Accepted,No,Miskelly et al. 2021,
2019/041,2019,White-throated needletail,1,Live,Nov-11,"West Coast, Punakaiki, SH 6",Accepted,No,Miskelly et al. 2021,
2019/040,2019,Australasian little grebe,1,Live,May-20,"West Coast, Charleston, Hands Road",Accepted,No,Miskelly et al. 2021,
2019/039,2019,Tree martin,1,Live,Jun-05,"West Coast, Punakaiki River estuary",Accepted,No,Miskelly et al. 2021,
2019/038,2019,Australasian little grebe,1,Live,May-22,"Taranaki, Lake Mangamahoe",Accepted,No,Miskelly et al. 2021,
2019/037,2019,Northern shoveler,1,Live,May-04,"Canterbury, Woodend, Pegasus wetland",Accepted,No,Miskelly et al. 2021,
2019/036,2019,Red-footed booby,1,Live,May-10,North Taranaki Bight,Accepted,No,Miskelly et al. 2021,
2019/035,2019,Pink-footed shearwater,1,Live,Apr-30,Cook Strait,Not accepted,No,Miskelly et al. 2021,
2019/034,2019,Western rockhopper penguin,1,Live,Feb-09,"Otago Peninsula, Victory Beach",Accepted,No,Miskelly et al. 2021,
2019/033,2019,Northern shoveler,1,Live,Apr-26,"Christchurch, Bromley Oxidation Ponds",Accepted,No,Miskelly et al. 2021,
2019/032,2019,Collared petrel,1,Live,Mar-04,"north-east of the Three Kings, near the King Bank",Accepted,Yes,Miskelly et al. 2021,
2019/031,2019,White-winged black tern,2,Live,Apr-12,"Napier, Ahuriri Estuary, Southern Marsh",Accepted,No,Miskelly et al. 2021,
2019/030,2019,Australasian little grebe,1,Live,Dec-31,"Taranaki, Lake Mangamahoe",Accepted,No,Miskelly et al. 2021,
2019/029,2019,Arctic tern,1,Live,Dec-05,"Dunedin, Aramoana Mole",Accepted,No,Miskelly et al. 2021,
2019/028,2019,Tasmanian mollymawk,1,Live,Mar-20,Kaikoura pelagic,Not accepted,No,Miskelly et al. 2021,
2019/027,2019,Stewart Island shag,1,Live,Mar-26,"Canterbury, Ashburton River mouth",Accepted,No,Miskelly et al. 2021,
2019/026,2019,Macaroni penguin,1,Live,Mar-06,"Snares Islands, North East Island, Boat Harbour",Accepted,No,Miskelly et al. 2021,
2019/025,2019,Juan Fernandez petrel,1,Live,Mar-24,northern Cook Strait,Accepted,No,Miskelly et al. 2021,
2019/024,2019,Common tern,1,Live,Jan-23,"Stewart Island, Halfmoon Bay",Not accepted,No,Miskelly et al. 2021,
2019/023,2019,Lesser sand plover,1,Live,Feb-23,Farewell Spit,Accepted,No,Miskelly et al. 2021,
